EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
404,proton,516.933324,116.005052,-0.882886,-92.000000,1.125838,90.949426,-90.549554,-0.009590,-0.999817,-0.016570
701,proton,518.377478,209.261565,0.316860,-92.000000,1.985075,89.457058,-90.509848,-0.008898,-0.999916,0.009476
603,proton,511.737780,120.466536,-0.690682,-92.000000,0.865282,89.820760,-90.153273,-0.002675,-0.999992,0.003128
405,proton,514.409119,124.412520,-0.675465,-92.000000,1.322376,88.896568,-89.999926,0.000001,-0.999815,0.019257
406,proton,515.382354,125.774071,-0.612407,-92.000000,1.282410,89.967550,-89.466802,0.009306,-0.999957,0.000566
702,proton,515.180005,178.575166,2.481106,-92.000000,0.299281,90.061572,-89.472990,0.009198,-0.999957,-0.001075
604,proton,517.206314,493.907658,2.836161,-92.000000,0.100129,90.767263,-89.640858,0.006268,-0.999891,-0.013391
407,proton,515.867012,120.072836,-1.207484,-92.000000,-1.147421,89.955024,-90.002913,-0.000051,-1.000000,0.000785
703,proton,515.719104,121.262527,-0.300981,-92.000000,-0.087769,90.038036,-89.159350,0.014672,-0.999892,-0.000664
605,proton,514.340773,273.612268,0.481974,-92.000000,-2.222944,89.823225,-90.763621,-0.013327,-0.999906,0.003085
508,proton,516.433397,287.655898,1.528112,-92.000000,2.975273,89.488690,-90.080167,-0.001399,-0.999959,0.008924
408,proton,520.865209,131.548180,-1.714546,-92.000000,1.983335,89.867899,-90.523342,-0.009134,-0.999956,0.002306
704,proton,513.385340,146.320431,1.766353,-92.000000,-0.396698,89.507210,-89.892950,0.001868,-0.999961,0.008601
509,proton,517.364740,129.861834,-1.751664,-92.000000,-1.343763,90.503877,-90.225759,-0.003940,-0.999954,-0.008794
705,proton,517.105927,124.772367,1.146768,-92.000000,1.755787,90.400206,-89.956012,0.000768,-0.999975,-0.006985
510,proton,517.485205,125.145022,-0.880500,-92.000000,2.911142,91.023892,-88.684520,0.022954,-0.999577,-0.017869
410,proton,515.605802,121.828187,0.509518,-92.000000,2.125529,90.510209,-89.593000,0.007103,-0.999935,-0.008905
